Business Center,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Id,Venue Likes
Grenoble Europole,Taxi Brouss Restaurant,45.18602987895873,5.709129889545702,African ,4b7ee179f964a520720630e3,0
Grenoble Europole,ChinaTown Restaurant,45.19030109301963,5.715301728713041,Asian ,4ed76cd47ee53b380fb71c1f,2
Grenoble Europole,China Moon,45.19045521672206,5.715695560586513,Chinese ,4c70f331df6b8cfaaed0b94d,4
Grenoble Europole,Sushi One,45.1908944704829,5.71946544044506,Sushi ,4c278ad6136d20a1c31de761,6
Grenoble Europole,La Rivière Des Parfums,45.190266,5.721692,Vietnamese ,5b8e77e22f97ec002c611136,0
Grenoble Europole,Punjabi,45.19009010760235,5.718192011117934,Indian ,4ca071bf54c8a1cd11519f4b,4
Grenoble Europole,Fire Wok,45.191213317558706,5.721635376964163,Noodle House,4ed7679f4690bd08d8a81906,2
Grenoble Europole,Asia Lunch,45.19121715412997,5.71316978804919,Vietnamese ,5239db4311d203a8f5ec9222,3
Grenoble Europole,Li & Li,45.1912138,5.7160242,Asian ,4e75002c2271ffa4e6bd365a,0
Grenoble Europole,Q TEA,45.190664757537746,5.717791020870209,Chinese ,52d665a211d2382e917ad48f,1
Grenoble Europole,Mei Shan,45.18984207609489,5.717696660176284,Asian ,55199c87498e8ea2ad1c7948,0
Grenoble Europole,Bun Saigon,45.190046,5.718132,Vietnamese ,5a09ea45a9e4026dfe338cc2,0
Grenoble Europole,Saveurs D'Asie,45.18892,5.7190379999999985,Vietnamese ,58027868d67cd7de61f6af99,1
Grenoble Europole,pho38,45.188183,5.719717,Vietnamese ,57b2121e38fa0703f229de95,3
Grenoble Europole,Restaurant Chez Mai,45.185997,5.7153983,Vietnamese ,59a5bb5f588e3633b2f3adfa,2
Grenoble Europole,Restaurant Pav-San,45.189334,5.71974,Cantonese ,5691965f498ee87ddf63e6e0,0
Grenoble Europole,Phnom Penh,45.187221,5.721029,Chinese ,4db31bef4b226b343d71424c,6
Grenoble Europole,Osaka,45.18736130297726,5.7197132085966285,Sushi ,4cb1a8a7cbab236a3983aa73,0
Grenoble Europole,Sakura japanese restaurant,45.18633300000001,5.718308,Japanese ,4b73e17cf964a520c0be2de3,0
Grenoble Europole,Restaurant Seoul,45.18598,5.715268599999999,Korean ,5b093ee8628c83002c0c084e,0
Grenoble Europole,Le Jasmin,45.18845561906327,5.714790908987336,Cambodian ,5670982f498ea992fc7affb0,1
Grenoble Europole,Masitda,45.19025825458739,5.718178716851426,Korean ,5691645e498e2126b7bf0a05,0
Grenoble Europole,King Long Store,45.188515,5.711581,Grocery Store,5c3f6776054e29002c983505,0
Grenoble Europole,Restaurant Vietnamien DÂU,45.18667959073586,5.716155034892237,Vietnamese ,4c63d4c1eb82d13a04bd08d6,1
Grenoble Europole,Sawatdee,45.19072555123461,5.714583541156786,Thai ,50e7356ae4b00a3cd3e42339,1
Grenoble Europole,La Muraille de Chine,45.1904296875,5.716644763946532,Asian ,5092b24ae4b0679e93f08a6f,0
Grenoble Europole,Sush1,45.190877941065175,5.719268167665489,Sushi ,4bc4cb30461576b07c768032,0
Grenoble Europole,Kim Ngan,45.18593278997612,5.7154399220966345,Vietnamese ,4c810df7d22d199c90d2db93,1
Grenoble Europole,Sushi Chez Vous,45.18715,5.719009,Japanese ,51eee215498ea99f340700e6,0
Grenoble Europole,Dau,45.186051,5.715977,Asian ,4fb23774e4b0e08c1df9ff38,0
Grenoble Europole,Thai Bangkok,45.18610498353927,5.716581158894111,Thai ,4da5f110fa8cf9bcc88a68e4,0
Grenoble Europole,Sushi Panda,45.190279137826735,5.7216668128967285,Sushi ,4f1950aea17c5eb80f574c95,0
Grenoble Europole,Wok & Wok,45.18923568315621,5.720593929290772,Italian ,4c4d61dfd667d13a733dbd9e,0
Grenoble Europole,O'Bagel,45.18939208984375,5.720839023590088,Bagel ,529767f4498eee0bb8ee37c6,0
Grenoble Europole,Brioche Dorée,45.19123940167128,5.714687705039978,Bakery,51f619da498e688522a895a8,6
Grenoble Europole,La Fournée,45.18862429161135,5.712611072216134,Bakery,4f8849a0e4b039b1440447d3,0
Grenoble Europole,Banette,45.18861932518268,5.715185624154143,Bakery,4f3df825e4b0e4bab94fb6e5,0
Grenoble Europole,"Boulangerie, Pâtisserie J.M Coste",45.190052301482154,5.7161736488342285,Bakery,4e54cb2b81dc776fa5e1647d,1
Grenoble Europole,Pain & Friandises,45.187657,5.719602,Bakery,4eae9cdc775bad292fe443e1,0
Grenoble Europole,Le Fournil Jean Jaurès,45.186386,5.718248,Bakery,5a6ae1e91108ba3837a969c2,0
Grenoble Europole,La Fabrique SG Gourmands,45.1898305143439,5.717580310026277,Bakery,560fa40e498e7652737d4a21,3
Grenoble Europole,La Grange A Pain,45.18596909268941,5.716077089309692,Bakery,4e7048e652b140871b2b87fe,1
Grenoble Europole,Chardon Bleu,45.18937645282082,5.720825085027447,Bakery,4cb30a28db32f04dd31fd44d,10
Grenoble Europole,Louis Boulangerie pâtisserie,45.19109892459587,5.720163487428484,Bakery,4f0837efe4b0ad9c24f46cab,1
Grenoble Europole,Maison Lenoir Boulangerie,45.187995,5.706038,Bakery,505c373fe4b0c8fbe5229cb2,2
Grenoble Europole,Boulangerie Campaillette,45.194269,5.718379,Bakery,4c9ccc8b8afca093b584f015,0
Grenoble Europole,David Patissier,45.188393,5.713744,Bakery,4ffbbafbe4b02c0240324bd8,0
Grenoble Europole,L'epicea,45.186083059940366,5.716686992594734,Bakery,4d53b02208a7b1f7d1d03492,2
Grenoble Europole,Boulangerie Sésame,45.18818464788214,5.715012252330779,Bakery,55f45189498e4aa9feae2697,1
Grenoble Europole,Le Palais De Saveurs,45.186405,5.7182245,Bakery,57fe0f17498ed820f1a7a763,1
Grenoble Europole,Boulangerie Pâtisserie Jacquier,45.191406,5.7199073,Bakery,570a1ba9498e9e882e2bb003,1
Grenoble Europole,Carrefour Bio,45.188005,5.720127,Organic Grocery,5ce8f969829b0c002cb42ebd,0
